Country,Year,Feature,SHAP_Value
MMR,2027,Ecosystems,-0.0005788295194633743
MMR,2028,Ecosystems,-0.0005873872745450885
MMR,2029,Ecosystems,-0.0005909333584159221
MMR,2030,Ecosystems,-0.0005857742581729366
MMR,2031,Ecosystems,-0.0005940707686246712
MMR,2032,Ecosystems,-0.000601103451369157
MMR,2033,Ecosystems,-0.0006228792515057325
MMR,2034,Ecosystems,-0.0006337381521306231
MMR,2035,Ecosystems,-0.0006431440774218784
MMR,2036,Ecosystems,-0.0006472656095706778
MMR,2037,Ecosystems,-0.0006609711238672566
MMR,2038,Ecosystems,-0.0006678073746042452
MMR,2039,Ecosystems,-0.0006671736205730866
MMR,2040,Ecosystems,-0.0006725469443798171
MNE,1995,Ecosystems,0.0014313233319014442
MNE,1996,Ecosystems,0.0015442381866444892
MNE,1997,Ecosystems,0.0013913681333028436
MNE,1998,Ecosystems,0.0014175967680825265
MNE,1999,Ecosystems,0.0014103722546796055
MNE,2000,Ecosystems,0.001304224026682449
MNE,2001,Ecosystems,0.0012570819994879542
MNE,2002,Ecosystems,0.001247096594137466
MNE,2003,Ecosystems,0.0012317582010836084
MNE,2004,Ecosystems,0.0012648138631063317
MNE,2005,Ecosystems,0.0013095571321576445
MNE,2006,Ecosystems,0.0018609396863923148
MNE,2007,Ecosystems,0.002031339152853605
MNE,2008,Ecosystems,0.0018383273490875283
MNE,2009,Ecosystems,0.0018474802716181055
MNE,2010,Ecosystems,0.011881139338347137
MNE,2011,Ecosystems,0.0018764970278386918
MNE,2012,Ecosystems,0.0017158060463500994
MNE,2013,Ecosystems,0.011195401906043265
MNE,2014,Ecosystems,0.0009138177706000671
MNE,2015,Ecosystems,0.0055633309699396
MNE,2016,Ecosystems,0.0021066380196593398
MNE,2017,Ecosystems,0.0018349147788374429
MNE,2018,Ecosystems,0.010808237532295943
MNE,2019,Ecosystems,0.0016099166666995652
MNE,2020,Ecosystems,0.006082884721358186
MNE,2021,Ecosystems,0.0015512415965465327
MNE,2022,Ecosystems,0.0015177319583900026
MNE,2023,Ecosystems,0.0015561300085207678
MNE,2024,Ecosystems,0.0015511091149985007
